BALANCE_FREQUENCY,PURCHASES,INSTALLMENTS_PURCHASES,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS
0.818182,95.4,95.4,1000,201.802084,139.509787
0.909091,0,0,7000,4103.032597,1072.340217
1,773.17,0,7500,622.066742,627.284787
0.636364,1499,0,7500,0,
1,16,0,1200,678.334763,244.791237
1,1333.28,1333.28,1800,1400.05777,2407.246035
1,7091.01,688.38,13500,6354.314328,198.065894
1,436.2,436.2,2300,679.065082,532.03399
1,861.49,200,7000,688.278568,311.963409
0.545455,1281.6,0,11000,1164.770591,100.302262
1,920.12,920.12,1200,1083.301007,2172.697765
0.818182,1492.18,0,2000,705.618627,155.549069
1,3217.99,717.76,3000,608.263689,490.207013
1,2137.93,1717.97,7500,1655.891435,251.137986
1,0,0,3000,805.647974,989.962866
1,1611.7,1611.7,8000,1993.439277,2109.90649
0.875,0,0,3000,391.974562,376.579631
0.454545,519,519,2500,254.590662,73.203221
1,504.35,338.35,13000,1720.837373,744.613395
1,398.64,398.64,4000,1053.980464,12465.54938
1,176.68,176.68,2000,223.0686,13557.29726
1,6359.95,449.91,11250,2077.959051,1659.775075
0.636364,815.9,815.9,1800,2359.629958,86.329554
0.818182,4248.35,793.79,9000,9479.043842,1425.426525
1,0,0,6000,1422.726707,1657.002877
1,399.6,399.6,3000,215.306142,163.005536
1,102,0,1700,890.178845,971.183209
1,233.28,233.28,1000,207.773715,164.748819
1,387.05,182.5,10500,1601.448347,1648.851345
1,100,100,6900,160.767773,159.684442
1,3038.01,2024.81,13000,4230.323491,3292.01503
1,1347.71,947.71,6000,645.998299,256.848991
1,324.95,0,10500,1720.118876,2506.745366
1,636.79,0,1200,423.449696,196.301885
0.727273,547.28,547.28,11000,8735.607835,17862.55831
1,0,0,1800,351.500199,634.569311
1,0,0,9000,1636.361601,1986.843608
1,2380.55,738.38,5000,1617.894416,1541.141605
1,204,0,9000,1237.111661,2049.408839
0.454545,963.24,0,7500,20071.07544,719.948985
0.727273,0,0,1800,3067.05783,283.333445
0.909091,1526.59,740.29,3000,1262.309666,363.142736
1,203.82,0,4500,868.275275,1801.264841
1,0,0,1500,378.294227,321.354137
1,1525.44,1055.64,8500,1430.341501,1318.71492
1,437,340,2400,0,
0.5,109.74,109.74,1700,176.013005,147.199792
1,0,0,4200,0,
1,2390.6,987.67,3300,2543.953559,175.657825
1,507.5,0,4000,587.866451,286.448719
1,901.42,255.35,12000,8113.297346,1012.415961
1,3107.85,886.11,2500,1399.82834,1322.446601
1,0,0,3500,691.825279,581.481917
0.888889,1979.22,0,3000,3110.052742,132.446091
0.636364,310,310,1000,417.016763,
1,1283.9,0,6000,0,
1,313.27,0,4000,0,
1,5217.62,428.53,7500,5678.729613,1311.514878
1,0,0,4000,764.938728,1600.212243
1,229,229,6000,2110.557023,1895.02617
0.727273,113,0,6500,3509.686561,548.105836
1,66.2,0,1600,338.083661,837.215674
0.909091,0,0,4150,4372.148648,241.645387
0.090909,840,0,1600,0,
1,1887.64,1887.64,1850,3688.045998,3266.996777
1,412.33,87.12,1800,777.451648,897.905444
0.875,0,0,1500,146.074769,179.412493
1,0,0,2500,540.022225,352.883804
1,263.5,72.9,6000,6876.836205,1001.607366
1,1363.69,0,1700,1623.816348,923.505868
1,419.1,419.1,6250,1288.214909,2180.881868
0.909091,4523.27,2859.18,7000,28232.69446,1107.030803
1,0,0,7000,910.457985,140.983193
1,713.9,210.82,2250,889.017418,622.757696
0.909091,791.94,275.3,6000,1305.177304,175.510344
1,561.87,312.37,6000,1990.044998,2161.428274
1,606.11,0,11000,2959.920544,623.656993
1,320,320,1500,1438.910569,190.186542
1,0,0,1200,29.278671,8242.687678
1,388.66,0,7000,1624.583114,2503.40234
0.909091,244.85,204.64,5000,357.802082,121.523416
0.272727,0,0,9500,116.569033,164.692136
0.636364,133.05,104.85,12000,210.053432,99.533735
0.545455,396,396,1200,725.606194,140.809454
1,4915.6,400.26,9000,4921.066897,594.756686
1,1247.8,0,16500,1275.229436,171.357189
1,1603.78,158.64,11000,4589.873897,1876.262988
1,2258.01,939.23,13500,3021.575846,2074.581541
1,45,0,4500,1073.844885,968.941265
